"employee_vector","salaries_2017","adjustments","salaries_2018","got_raise"
"Employee 1",47740.2271330357,-613.954435102642,47126.272697933,FALSE
"Employee 2",42543.1278441101,4341.07433422469,46884.2021783348,TRUE
"Employee 3",46357.9209567979,8872.89774953388,55230.8187063318,TRUE
"Employee 4",48178.6095537245,-175.584370736033,48003.0251829885,FALSE
"Employee 5",42338.7736594304,8252.08942987956,50590.86308931,TRUE
"Employee 6",46338.6005209759,7289.18386390433,53627.7843848802,TRUE
"Employee 7",47951.1992121115,-2617.89671261795,45333.3024994936,FALSE
"Employee 8",45500.3011599183,9034.33386120014,54534.6350211184,TRUE
"Employee 9",49465.7939951867,5300.49392953515,54766.2879247218,TRUE
"Employee 10",43002.9606749304,208.20973906666,43211.170413997,TRUE
"Employee 11",47472.5387059152,-2745.45035674237,44727.0883491728,FALSE
"Employee 12",41032.6845454983,2798.99358865805,43831.6781341564,TRUE
"Employee 13",41969.492661301,9397.51927391626,51367.0119352173,TRUE
"Employee 14",40449.9732912518,-941.696701338515,39508.2765899133,FALSE
"Employee 15",47287.9192512482,4633.90153134242,51921.8207825907,TRUE
"Employee 16",48069.6385353804,5373.49993595853,53443.1384713389,TRUE
"Employee 17",49695.599291008,4789.73163408227,54485.3309250902,TRUE
"Employee 18",41264.5921786316,8539.91413605399,49804.5063146856,TRUE
"Employee 19",44132.2417883202,-2865.01961294562,41267.2221753746,FALSE
"Employee 20",49954.4853507541,804.468543501571,50758.9538942557,TRUE
"Employee 21",42167.3261444084,4723.26161223464,46890.5877566431,TRUE
"Employee 22",44191.6774888523,4667.43625118397,48859.1137400363,TRUE
"Employee 23",40370.8050912246,6759.72708500922,47130.5321762338,TRUE
"Employee 24",45971.868140623,3167.72090969607,49139.589050319,TRUE
"Employee 25",45496.299834922,9843.32511317916,55339.6249481011,TRUE
"Employee 26",45491.2707209587,5293.24304196052,50784.5137629192,TRUE
"Employee 27",49183.2339437678,4380.1402230747,53563.3741668426,TRUE
"Employee 28",41417.9448201321,-215.015731519088,41202.929088613,FALSE
"Employee 29",49352.5174679235,6093.03787932731,55445.5553472508,TRUE
"Employee 30",45689.5110197365,1855.59170553461,47545.1027252711,TRUE
"Employee 31",40400.4027461633,1437.04382586293,41837.4465720262,TRUE
"Employee 32",40034.3518378213,9137.7347195521,49172.0865573734,TRUE
"Employee 33",42509.1089704074,2410.44942988083,44919.5584002882,TRUE
"Employee 34",48735.1905135438,6898.15708668903,55633.3476002328,TRUE
"Employee 35",46873.4603864141,-4893.51711934432,41979.9432670698,FALSE
"Employee 36",43538.1651273929,1513.3322798647,45051.4974072576,TRUE
"Employee 37",43072.5448089652,4829.24837153405,47901.7931804992,TRUE
"Employee 38",49014.5119372755,7835.58559254743,56850.097529823,TRUE
"Employee 39",41475.1186780632,564.354789676145,42039.4734677393,TRUE
"Employee 40",43504.3551283889,8517.22596911713,52021.581097506,TRUE
"Employee 41",49682.0012410171,-191.072856541723,49490.9283844754,FALSE
"Employee 42",43031.2921782024,-343.982218764722,42687.3099594377,FALSE
"Employee 43",45520.0440646149,-3569.58190677688,41950.462157838,FALSE
"Employee 44",47589.4759735093,1941.4244685322,49530.9004420415,TRUE
"Employee 45",40383.9835408144,579.590180423111,40963.5737212375,TRUE
"Employee 46",40655.2896299399,-2002.06640525721,38653.2232246827,FALSE
"Employee 47",46260.4860193096,8112.24722070619,54372.7332400158,TRUE
"Employee 48",48345.2673559077,-674.693135078996,47670.5742208287,FALSE
"Employee 49",42429.6674598008,8848.77227130346,51278.4397311043,TRUE
"Employee 50",44570.6593361683,2304.94375340641,46875.6030895747,TRUE
"Employee 51",43557.7504010871,2188.86839225888,45746.618793346,TRUE
"Employee 52",45978.7440323271,8502.36489670351,54481.1089290306,TRUE
"Employee 53",40671.2367734872,3817.36446055584,44488.601234043,TRUE
"Employee 54",44234.9951784126,586.826514918357,44821.821693331,TRUE
"Employee 55",46664.5513731055,5108.766524354,51773.3178974595,TRUE
"Employee 56",40382.4606025591,9104.59780483507,49487.0584073942,TRUE
"Employee 57",45469.4061679766,7373.59980586916,52843.0059738457,TRUE
"Employee 58",41312.9236991517,7936.03457161225,49248.958270764,TRUE
"Employee 59",48747.2029100172,-4586.63725992665,44160.5656500906,FALSE
"Employee 60",45978.1406354159,890.17138001509,46868.312015431,TRUE
"Employee 61",46834.9692062475,9134.30557469837,55969.2747809459,TRUE
"Employee 62",49654.1154687293,9444.64965723455,59098.7651259638,TRUE
"Employee 63",41233.1630894914,-1852.06749825738,39381.095591234,FALSE
"Employee 64",47302.4838208221,8502.0007903222,55804.4846111443,TRUE
"Employee 65",46558.5457067937,-1161.6896581836,45396.8560486101,FALSE
"Employee 66",47483.0727046356,8225.63625173643,55708.708956372,TRUE
"Employee 67",49605.2067168057,4981.59585986286,54586.8025766686,TRUE
"Employee 68",44101.3556998223,7561.51965120807,51662.8753510304,TRUE
"Employee 69",44042.858723551,-4544.73239253275,39498.1263310183,FALSE
"Employee 70",49090.1907230727,6769.14118113928,55859.331904212,TRUE
"Employee 71",42348.0815766379,9903.89609127305,52251.977667911,TRUE
"Employee 72",42023.5504978336,-3182.64738772996,38840.9031101037,FALSE
"Employee 73",49150.7079871371,4989.98247785494,54140.6904649921,TRUE
"Employee 74",46630.4725618102,2084.31387320161,48714.7864350118,TRUE
"Employee 75",44090.0581912138,7003.23704979382,51093.2952410076,TRUE
"Employee 76",45011.4235701039,675.831967964768,45687.2555380687,TRUE
"Employee 77",47472.0550794154,985.202157171443,48457.2572365869,TRUE
"Employee 78",43773.7580412067,-884.153001243249,42889.6050399635,FALSE
"Employee 79",47277.5710583664,3675.06078328006,50952.6318416465,TRUE
"Employee 80",47790.7080738805,371.616694610566,48162.3247684911,TRUE
"Employee 81",43145.9459662437,6157.97004546039,49303.9160117041,TRUE
"Employee 82",41174.6719339862,-3794.68696541153,37379.9849685747,FALSE
"Employee 83",45596.831839066,8842.08189556375,54438.9137346298,TRUE
"Employee 84",47635.8326221816,8116.81851861067,55752.6511407923,TRUE
"Employee 85",48715.9148673527,5798.44002262689,54514.3548899796,TRUE
"Employee 86",49988.623065874,-3313.42379678972,46675.1992690843,FALSE
"Employee 87",40145.7065204158,-1956.14405325614,38189.5624671597,FALSE
"Employee 88",49481.2805391848,9876.47279514931,59357.7533343341,TRUE
"Employee 89",42942.4128588289,-680.335413198918,42262.07744563,FALSE
"Employee 90",43228.4588576294,8422.59198077954,51651.050838409,TRUE
"Employee 91",47573.8765951246,4518.63666181453,52092.5132569391,TRUE
"Employee 92",47411.0206938349,-3478.13733736984,43932.883356465,FALSE
"Employee 93",49781.4782755449,9320.18991676159,59101.6681923065,TRUE
"Employee 94",49860.1395520382,8011.1734685488,57871.313020587,TRUE
"Employee 95",42034.6522773616,7462.17510662973,49496.8273839913,TRUE
"Employee 96",45375.0328556634,6384.26054269075,51759.2933983542,TRUE
"Employee 97",41332.3944038711,2741.51425459422,44073.9086584654,TRUE
"Employee 98",42641.4650329389,-3025.38522286341,39616.0798100755,FALSE
"Employee 99",42070.5194142647,5700.57823322713,47771.0976474918,TRUE
"Employee 100",47386.5484213457,8578.87074234895,55965.4191636946,TRUE
